alias,ticker
O,O
ORI,ORI
V,V
JNJ,JNJ
AAPL,AAPL
NOVO-B,NOVO-B.CO
NOVO-A,NOVO-B.CO
COLO-A,COLO-B.CO
COLO-B,COLO-B.CO
TRYGV,TRYGV.CO
PNDORA,PNDORA.CO
CARL-B,CARL-B.CO
EUNL,EUNL.DE
IS3N,IS3N.DE
MWRD,MWRD.L
