Ticker,Year,Dividend
JNJ,2019,3.80
JNJ,2020,3.98
JNJ,2021,4.13
JNJ,2022,4.45
JNJ,2023,4.76
JNJ,2024,4.96
PG,2019,2.98
PG,2020,3.16
PG,2021,3.36
PG,2022,3.65
PG,2023,3.76
PG,2024,3.91
KO,2019,1.60
KO,2020,1.64
KO,2021,1.68
KO,2022,1.76
KO,2023,1.84
KO,2024,1.92
ABBV,2019,4.28
ABBV,2020,4.72
ABBV,2021,5.20
ABBV,2022,5.64
ABBV,2023,5.92
ABBV,2024,6.20
