Ticker,DividendClass
KO,King
PG,King
JNJ,King
PEP,Aristocrat
ABBV,Aristocrat
MSFT,Aristocrat
AFL,Aristocrat
ADP,Aristocrat
ENB,Contender
TD,Aristocrat
BMO,Aristocrat
RY,Aristocrat

