
GeneratedUTC,Ticker,Name,Country,Currency,Exchange,Sector,Industry,Price,DividendYield_%,PayoutRatio_%,PE
2026-01-14 12:27:01 UTC,AAPL,Apple Inc.,United States,USD,NMS,Technology,Consumer Electronics,261.05,0.40,13.67,34.95
2026-01-14 12:27:02 UTC,JNJ,Johnson & Johnson,United States,USD,NYQ,Healthcare,Drug Manufacturers - General,213.65,2.43,49.08,20.66
