ticker,SP500,NASDAQ100,OMXC25
AAPL,1,1,0
MSFT,1,1,0
JNJ,1,0,0
PEP,1,0,0
KO,1,0,0
PG,1,0,0
COST,1,0,0
AVGO,1,1,0
V,1,0,0
MA,1,0,0
MCD,1,0,0
HD,1,0,0
NEE,1,0,0
TXN,1,0,0
ABBV,1,0,0
NOVO-B.CO,0,0,1
MAERSK-B.CO,0,0,1
DSV.CO,0,0,1
TRYG.CO,0,0,1
COLO-B.CO,0,0,1
