Ticker,Name,Country,Sector,Industry,Price,Dividend Yield (%),Payout Ratio (%),PE
AAPL,Apple Inc,US,Technology,Consumer Electronics,189.84,0.53,15.2,29.1
MSFT,Microsoft Corp,US,Technology,Software Infrastructure,421.12,0.71,27.4,35.8
JNJ,Johnson & Johnson,US,Healthcare,Drug Manufacturers,156.22,2.96,45.1,15.9
PG,Procter & Gamble Co,US,Consumer Defensive,Household Products,158.44,2.41,58.7,24.3
KO,Coca-Cola Co,US,Consumer Defensive,Beverages,61.32,3.12,76.5,22.6
PEP,PepsiCo Inc,US,Consumer Defensive,Beverages,170.11,2.89,66.2,24.9
TROW,T Rowe Price Group Inc,US,Financials,Asset Management,108.42,4.12,55.3,12.4
ENB,Enbridge Inc,CA,Energy,Oil & Gas Midstream,35.18,7.42,102.1,18.7

